annealing_time,average_triangular_op,triangular_op_sem,triangular_op_bootstrap_sem,triangular_op_std,triangular_op_bootstrap_std,average_villain_op,villain_op_sem,villain_op_bootstrap_sem,villain_op_std,villain_op_bootstrap_std,average_vortices,vortices_sem,vortices_bootstrap_sem,vortices_std,vortices_bootstrap_std,corr_length_periodic,corr_length_periodic_sigma_1_negative,corr_length_periodic_sigma_1_positive,corr_length_periodic_sigma_2_negative,corr_length_periodic_sigma_2_positive,corr_length_non_periodic,corr_length_non_periodic_sigma_1_negative,corr_length_non_periodic_sigma_1_positive,corr_length_non_periodic_sigma_2_negative,corr_length_non_periodic_sigma_2_positive
3.6,0.2313679617057768,0.00037487681521594223,0.00032507619012431526,0.1185458650734735,0.0036198952531574383,0.22070117834746866,0.00035793715024310475,0.00032534797565402754,0.11318909944606846,0.0036229217287307683,11.81216,0.010670084341325447,0.010457617766721,3.37416006354174,0.11645110304329452,0.5073542194538773,-0.06657130560307922,0.03802528082712142,-0.04006224420795279,0.019867377130690866,0.589915766735143,-0.13874904543183542,0.12344528062223525,-0.06529773359347224,0.0566444175658084
4.0,0.24196505617265054,0.00039052962933753204,0.0004197083516059938,0.12349569476568657,0.00467367440570797,0.22843494533419606,0.0003714765105029856,0.0003736547101504175,0.11747059968668597,0.004160842758358152,10.39869,0.010157802156394191,0.009497239157402707,3.212163022621984,0.10575677945172123,0.5688598575459374,-0.09247732745834214,0.0657040082723942,-0.04840569049436483,0.032385826796484496,0.6549947605699532,-0.08668489045489813,0.07303833055761288,-0.03584681804882639,0.03164149374881309
6.5,0.2593686350408804,0.0004171641874406655,0.00037972986977091695,0.13191823946044684,0.0042284928728251936,0.24092653042227355,0.0003920197836578425,0.0003854548516796088,0.12396692058127194,0.004292243573323315,8.40795,0.009330347717469335,0.009003431245561237,2.9505002622436756,0.10025796726445235,0.6085657279170108,-0.09912956004195828,0.0708726401370946,-0.04601703213837449,0.032808183926812506,0.7208817431176285,-0.01106663889796522,0.011314529000490015,-0.0049314451987765295,0.004980217325893821
8.0,0.2710345771449933,0.00043569376315834654,0.0004562874866288552,0.13777777649698406,0.00508100241451484,0.25111813505325714,0.0004052009559895854,0.0003713878860977754,0.12813515241990645,0.004135600474003939,7.24503,0.00883661325669164,0.00896639631642645,2.7943684973710963,0.09984556374721915,0.6606869716341317,-0.09107337086924117,0.0747140944089425,-0.03482569896268539,0.03190890380871525,0.7762446811180211,-0.015800630876942834,0.016531041424972526,-0.007086032111683349,0.007231068394101481
11.0,0.2942005310223741,0.00047066480266455833,0.0005424481792282099,0.14883653490111326,0.00604044728197772,0.2688788366260014,0.0004301801552276637,0.00043465816737264757,0.13603422929617284,0.0048401485086208675,5.39831,0.007948174203786157,0.007518354637260261,2.5134208051776765,0.08372085403291103,0.7343721129942732,-0.08847638375083011,0.10419949750947055,-0.03777726244350099,0.04152227845832879,0.8910231756765417,-0.06612695246500233,0.08191346809440603,-0.03128670438608805,0.03419842770274728
14.0,0.31068357176492506,0.0004989418282332904,0.0004527461410071102,0.15777847081629948,0.005041567658616408,0.2842041521519954,0.00045228954004309654,0.0005312456425857752,0.14302579570626955,0.005915701113395629,4.17705,0.0072869962246552445,0.007630998433807608,2.30433901531437,0.08497520226513143,0.8177585968707356,-0.11934083255213646,0.18157280215012206,-0.05270488992552891,0.06893860255805306,1.0370072286090946,-0.03371121190744897,0.03618599045993687,-0.01523332364679475,0.015718560345364452
16.0,0.319648693357546,0.0005134202221177206,0.000509322391074942,0.1623569180774767,0.005671574116436875,0.29350570192450987,0.0004643123668110046,0.0004351667660021946,0.14682772834648677,0.00484581202327002,3.55859,0.00695762935237729,0.006905102367791329,2.2001845858700126,0.07689196577016354,0.8216512764249362,-0.06574000184908813,0.13022707076264695,-0.029260935090161366,0.05125732575338815,1.0919212877888498,-0.03747857055967474,0.04011578985850717,-0.01692335996370109,0.017440559022243285
20.0,0.33085984847276356,0.0005381751839475123,0.0005584258646622857,0.17018508521361456,0.00621836725709843,0.3134837204986493,0.0004866599856294443,0.0005072538498547531,0.1538946305864616,0.005648539816259251,2.46045,0.00620579512181404,0.006127483038499312,1.9624349154812752,0.06823276339120378,0.8886231019553578,-0.08059065778438834,0.15075792966441626,-0.03586646071025301,0.05954816689205045,1.225276739810163,-0.09401958494035134,0.11014017665095888,-0.04338318255230522,0.04650474984504238
30.0,0.3409321797907089,0.0005827094711597537,0.0005792050324388014,0.18426799295482713,0.0064497542767691304,0.34509133349583254,0.0005264313986785352,0.0005050143966948673,0.16647139280202583,0.005623602321267571,1.11478,0.005118849240031925,0.005266143842295036,1.6187141661207516,0.058641296029334135,0.9614473544881639,-0.0850760131397792,0.15671609634101458,-0.03786786385108898,0.0559056665157156,1.4858349761048306,-0.050081438553371216,0.05341592333642997,-0.02258047507535621,0.023233314802822536
50.0,0.3327359448732322,0.0006276100811770507,0.0006748377818986572,0.1984667415591147,0.007514675505493205,0.38102749435841504,0.0005595356605935464,0.0006995850413514883,0.17693982725048132,0.0077902493240115675,0.15773,0.004402619254666819,0.021192476145115515,1.3922234903563437,0.23598942688179908,1.0630442554160966,-0.10617797996287814,0.17572822554260825,-0.047350744223663144,0.06311985904856288,1.8708844752316887,-0.03920324038594325,0.04130652456026929,-0.017622832201405814,0.018034130925359326
100.0,0.3046650805689584,0.0006560569225818845,0.0008156188288719762,0.2074623776882826,0.009082346898093096,0.4133050740405913,0.0005836107116460612,0.0010222636415540217,0.18455298879546617,0.011383446145722653,-0.39167,0.004269212851660564,0.03769151350533142,1.3500368924959052,0.4197149313522215,1.0906078115885827,-0.029262613372323498,0.026185500947866425,-0.004806683727033079,0.011657079493218925,2.273779481310609,-0.062086605419784835,0.06540510567004132,-0.027915852553743736,0.028567189871314458
200.0,0.29128971144611676,0.0006698191959459048,0.0010815668238360518,0.21181436888938057,0.012043818435547252,0.4180958778012631,0.000584960132080763,0.001389033168880709,0.18497971087132303,0.015467618752965732,-0.40395,0.004569869014756125,0.05511785283928342,1.445112243910486,0.6137664335885435,1.1166826486363584,-0.0286305552318864,0.0658714412729231,-0.012739893831608562,0.029478121602570795,2.414417673018177,-0.10910270537889089,0.1186665230044639,-0.04945663023665636,0.05132829449146081
