ratio,average_triangular_op,triangular_op_sem,triangular_op_bootstrap_sem,triangular_op_std,triangular_op_bootstrap_std,average_villain_op,villain_op_sem,villain_op_bootstrap_sem,villain_op_std,villain_op_bootstrap_std,average_afm_op,afm_op_sem,afm_op_bootstrap_sem,afm_op_std,afm_op_bootstrap_std
1.0,0.00034189256489627234,9.659235790325155e-06,1.556956075749181e-05,0.002868630411720413,0.00010786908113402556,0.0003979746875747302,1.1260912358005355e-05,1.799373082593671e-05,0.0033443013873051936,0.00012466422403296272,0.9996521478961955,3.8614732490438584e-05,4.187735618079955e-05,0.011467925451563245,0.0002901348343672135
0.9,0.00045731268277341395,1.1206356028435792e-05,1.8144466717209596e-05,0.0033280990759057922,0.00012570855292179798,0.0005306930575015461,1.3002340458764815e-05,2.0937065053225986e-05,0.0038614762154284173,0.00014505624173424874,0.999621126228269,3.403215291133244e-05,3.390875213771939e-05,0.010106976466559713,0.00023492672609515906
0.8,0.0004600153206270792,1.1323974767213054e-05,1.9268694937476504e-05,0.0033630298611530686,0.00013349743450901807,0.0005338178575907658,1.3165884937681963e-05,2.2318596241155964e-05,0.0039100461723147175,0.00015462777057319158,0.9996304169816075,3.190437722954875e-05,3.279918772456337e-05,0.009475062911224671,0.00022723943834373277
0.7,0.0005692052696006067,1.2698534207645233e-05,2.299337511405606e-05,0.0037712508735742185,0.0001593027757401397,0.0006641586470153705,1.4927698295901044e-05,2.6848731423760115e-05,0.0044332750787075695,0.0001860134677788944,0.9995986079617032,2.603059616180417e-05,2.4376926701253174e-05,0.007730648822110434,0.00016888830231581156
0.6,0.0004618212745188434,1.1682080247176909e-05,1.3002610584093003e-05,0.003469381159819676,9.008472865072766e-05,0.0005391627834718659,1.3730264896738033e-05,1.5202326660742514e-05,0.0040776575185389585,0.00010532480867865979,0.9996834845049131,2.100940469369473e-05,1.9335329834633463e-05,0.006239439490320746,0.00013395909461874996
0.5,0.0008101441965114913,1.5544183308816462e-05,2.2271309884370637e-05,0.004616360748713715,0.0001543001610833635,0.0009503387346243465,1.8387907815109305e-05,2.644134833404722e-05,0.0054608990515758364,0.0001831910349407859,0.9994406651549509,2.6687064613904515e-05,3.0358213552000166e-05,0.007925608900413552,0.00021032787319636128
0.4,0.0008191045778184674,1.6165354228706018e-05,2.6256645163216542e-05,0.004800838054201621,0.00018191137383599467,0.0009646593054458355,1.9780327788451808e-05,3.0914963413948366e-05,0.005874424341580458,0.00021418514938836627,0.9994560972537163,2.4361138052247866e-05,2.5570581336626384e-05,0.007234847869724193,0.00017715818421643753
0.3,0.0013537798445385216,2.060048739607354e-05,4.070191836419561e-05,0.006117997937251962,0.0002819911622892301,0.0015924920563774071,2.5232448517751285e-05,4.830506224678292e-05,0.007493612409036597,0.00033466728829682096,0.9990684051398337,3.456456586100208e-05,3.6301665351654045e-05,0.010265094149176578,0.00025150531515371005
0.2,0.00176319828988054,2.5048596994205764e-05,7.94158353852957e-05,0.007439011601774797,0.0005502090472514338,0.0020979164614554056,3.174899443023287e-05,9.12419893595372e-05,0.009428916835774041,0.0006321430454175093,0.9986459120685311,5.305091694278069e-05,6.525370017813806e-05,0.015755229193612174,0.0004520908963616057
0.1,0.0026268581906780646,3.3188337941274724e-05,8.077156307999352e-05,0.009856377626494432,0.0005596018042452132,0.0031713315055787077,4.451885671775044e-05,0.0001002839403232724,0.013221350948226886,0.0006947875192924521,0.9974370118417738,9.773253586500037e-05,0.00010194553222103267,0.029024917776384305,0.0007062993656459146
0.0,0.004268195440665375,5.232039842521727e-05,0.00011923242185523403,0.015538277492535954,0.0008260664502510045,0.0055318751620299315,7.958300247471248e-05,0.00014519708716537286,0.02363481191582923,0.0010059549283257308,0.9927744708994709,0.00021409319827125317,0.00022449841468706106,0.06358207552180803,0.0015553706418266274
-0.1,0.007653066002304324,8.855815852017691e-05,9.568850489812336e-05,0.026300282160146442,0.0006629494087354121,0.010635171644178449,0.0001379457666944572,0.0001230243064593841,0.040967570323126784,0.0008523373974143092,0.9783278218694885,0.00040641872953669275,0.00037902632455210576,0.12069952041231662,0.0026259714061213526
-0.2,0.01814717991471333,0.00014815842024861004,0.00015362081722944997,0.044000556493642574,0.001064316242166639,0.02759014604572019,0.0002397921637049194,0.00023651176789219825,0.07121423560082864,0.0016386015943088993,0.9288865268329554,0.000734511844588436,0.0007986076626060204,0.21813765197301563,0.005532916187789805
-0.3,0.04253604398726869,0.0002104593638491334,0.00028374784548698505,0.06250288787583606,0.0019658627396866458,0.0674362853149685,0.0003475349967376621,0.0004264887079654983,0.10321204310773453,0.002954800444202593,0.8091932791635172,0.0010882017852985627,0.0011993357552126263,0.3231776098190499,0.008309241853449034
-0.4,0.0780979806835364,0.000235008678404877,0.0002622719932853326,0.06979362099905409,0.001817073671090238,0.129445722243395,0.00039517599673035016,0.00041464420075409904,0.11736061804579354,0.0028727392910795554,0.6132040501385739,0.0012251071324986002,0.0014233024408399804,0.36383619306831017,0.009860928568286569
-0.5,0.1078339334241497,0.00021880977689932592,0.00023373365765694105,0.06498281996841446,0.001619354282002929,0.1859709672657118,0.0003727471829474519,0.000415074096294858,0.11069963795243254,0.002875717694753723,0.42070121567145374,0.0010009081509316433,0.0012158638935696104,0.2972528700435322,0.008423752155004334
-0.6,0.1352312644375804,0.0002467794984562015,0.00022958873661872207,0.07328935638672715,0.0015906374266767033,0.2523266584444349,0.00046188632332612895,0.00043664959567641184,0.13717246194343694,0.0030251971392638117,0.2627226631393298,0.0006745396573023294,0.0006636272040837803,0.20032692201044097,0.004597744139031952
