annealing_time,average_triangular_op,triangular_op_sem,triangular_op_bootstrap_sem,triangular_op_std,triangular_op_bootstrap_std,average_villain_op,villain_op_sem,villain_op_bootstrap_sem,villain_op_std,villain_op_bootstrap_std,average_vortices,vortices_sem,vortices_bootstrap_sem,vortices_std,vortices_bootstrap_std,corr_length_periodic,corr_length_periodic_sigma_1_negative,corr_length_periodic_sigma_1_positive,corr_length_periodic_sigma_2_negative,corr_length_periodic_sigma_2_positive,corr_length_non_periodic,corr_length_non_periodic_sigma_1_negative,corr_length_non_periodic_sigma_1_positive,corr_length_non_periodic_sigma_2_negative,corr_length_non_periodic_sigma_2_positive
3.6,0.17510396470084436,0.000404465327207507,0.00039892500678936156,0.09044029220127979,0.0062949304284822035,0.17826994349292496,0.00041450050150374315,0.0004317801344318999,0.09268420295107997,0.006813375597896931,21.8728,0.020197657342059305,0.018708153839444477,4.516288316748611,0.2952096881879048,0.5232204567918,-0.05655364950019803,0.03263308722586267,-0.027573700779623955,0.017360948470284132,0.6183556868883582,-0.052905148182258,0.042153628914541,-0.023171651755808487,0.019541863243139446
4.0,0.18243937415531944,0.0004217457990091569,0.00042518895912182684,0.09430428452395272,0.006709368605823988,0.18389939131891883,0.0004267918816405005,0.0004194125816302249,0.09543261161888904,0.0066182189064583515,19.42174,0.01914730372226849,0.019831810113287135,4.281424455995925,0.3129406851146076,0.5588249783604168,-0.09924919317198733,0.08364590842885955,-0.05008027981582297,0.04291055586225623,0.6540570993245276,-0.05686275162237675,0.048042291174428486,-0.02313054492898947,0.021335304276518974
6.5,0.1972356359985213,0.0004531112488483592,0.00048089310705672983,0.10131774218685566,0.007588365233912649,0.1927418616382458,0.0004496141519055577,0.0004703281932033457,0.10053577535784017,0.007421653705284219,15.91812,0.01761926565105486,0.016999369891464423,3.939748172865875,0.268245532302031,0.6316136334961573,-0.07793603831238005,0.06101556582966494,-0.03345323847155224,0.027545080839357805,0.7439698756993895,-0.014669343012949643,0.015209339093320784,-0.006559090822332969,0.0066666969922954955
8.0,0.20592988804534973,0.0004751268722928504,0.0004561476749869513,0.10624053601707098,0.007197888902143763,0.19903249979383916,0.00046347464521595663,0.00043059711942054145,0.10363504488905327,0.006794707935891264,13.91408,0.01673211147294587,0.017966116435085132,3.741376451735377,0.28350053544922976,0.6634292960701481,-0.07346282051821529,0.06268928143786312,-0.029296657159993855,0.027209100561902733,0.7919401850614757,-0.06116240819466534,0.07380610247654329,-0.028152287252471875,0.0306684355559802
11.0,0.22378318805668457,0.0005125582301988285,0.0005446890563310449,0.11461035839438082,0.008595048333407684,0.20766046864204102,0.00048633113495948153,0.0004886002665418298,0.10874586025948776,0.007709982159235002,10.68168,0.015013392541031885,0.01562342716260491,3.357063058329408,0.2465335222642146,0.770467785623636,-0.09141542007756154,0.11571994691565368,-0.04106822605484939,0.046317727909393036,0.9249827590091403,-0.06987274862676662,0.08432856370903352,-0.03252615512367607,0.03535461456531974
14.0,0.23708439952094,0.0005438814635793063,0.0005656241608150541,0.12161437626453539,0.008925398710037318,0.2115201754850171,0.0004948819978983627,0.0005156317752484316,0.11065787221884354,0.008136532171866368,8.6106,0.013763340488080202,0.014432565808728991,3.0775457169634373,0.22774204706202145,0.8534233957929251,-0.08970156890179826,0.12019527394520757,-0.042600044141243854,0.04854157437693729,1.0272135572665368,-0.09087943526698161,0.11131898609131441,-0.04246835397681348,0.04643662885471067
16.0,0.24408133786225777,0.0005588768706536135,0.0005791330667514112,0.12496741769046138,0.009138565650156413,0.2133297598420546,0.0005028950203585604,0.0005150205924726168,0.1124496205937145,0.008126887870337602,7.47664,0.013126664938004929,0.013290228073625975,2.9351821596623267,0.2097162616489241,0.9131473757822893,-0.08129114300117346,0.10432369079158132,-0.03877727740570813,0.043065867652032686,1.0950589533465633,-0.11053683907935641,0.13815591883779232,-0.051857165539067385,0.057174204726394784
20.0,0.25391709072104796,0.0005863711107114309,0.0006017490677171362,0.13111525518706196,0.009495440125876853,0.21115059987783075,0.0005032866611066069,0.0005046236913080003,0.11253719325151389,0.007962827537219344,5.60716,0.011837987052144842,0.013717097823182681,2.647027905859702,0.21645215268044807,1.0468098590507153,-0.09599614717248195,0.12522273451316246,-0.047220111181206614,0.05197589833999916,1.2657100033960442,-0.019429155341884163,0.019983358720834232,-0.00867995278268463,0.008789544443108532
30.0,0.26118457452002947,0.0004389500690159715,0.00048039331261838893,0.13880750567512382,0.010731173732142543,0.20432033392164217,0.0003506865185730926,0.00034592527275218224,0.11089625985513352,0.007727385254405734,3.19791,0.007032532323715891,0.008001863748333496,2.223870866732149,0.17874809621363805,1.2528694856464047,-0.113299943073353,0.17754787140304162,-0.05291096978129217,0.07328792754327096,1.5773785725887997,-0.010574968817705477,0.010713184569600243,-0.00470573959614673,0.004732850126421662
50.0,0.2517790039246539,0.0004525048234604831,0.00048124668225167725,0.14309387396001635,0.010750236565766597,0.1891035598577728,0.0003266929022434527,0.0003403690110666389,0.10330885010187967,0.0076032677700805995,1.30558,0.00589616454006864,0.00804794794542463,1.864521617895593,0.17977753919775408,1.4752489794987267,-0.13015116016305628,0.21684913226848734,-0.05829639040191403,0.08347511897927928,1.9933709692427326,-0.08339988722705827,0.09306991684111066,-0.03798369562265669,0.039860326271421664
100.0,0.22485587559011852,0.00044554671083167174,0.00048027760310742797,0.14089353654948336,0.010728588977459314,0.17544032822521652,0.0002955879506157483,0.00031357912527156165,0.09347264991795866,0.007004827052485508,0.09998,0.005068224231914828,0.011879640184020879,1.602705212944664,0.26537106021569123,1.5545215782233184,-0.031129612653134853,0.04578011251404179,-0.013815084440481407,0.020311290864802878,2.593642670843122,-0.053586063799655026,0.05566087658780594,-0.02400090543571487,0.024408422157815135
200.0,0.2021697235105577,0.00042337036545628455,0.0005741733189943392,0.13388079545697526,0.012826060389778406,0.16827429988063683,0.0002801766259441683,0.0003115483713775284,0.08859918551320951,0.006959463446723978,-0.21019,0.005204034248419641,0.030489402012340946,1.6456518963316635,0.6810816499510172,1.6165473033371756,-0.052431079895525645,0.07410571513422859,-0.02310967429292532,0.032852178029746604,3.0103263042100994,-0.12746996048700288,0.13828014371776876,-0.057706409953802495,0.05981799546967759
