annealing_time,average_triangular_op,triangular_op_sem,triangular_op_bootstrap_sem,triangular_op_std,triangular_op_bootstrap_std,average_villain_op,villain_op_sem,villain_op_bootstrap_sem,villain_op_std,villain_op_bootstrap_std,average_vortices,vortices_sem,vortices_bootstrap_sem,vortices_std,vortices_bootstrap_std,corr_length_periodic,corr_length_periodic_sigma_1_negative,corr_length_periodic_sigma_1_positive,corr_length_periodic_sigma_2_negative,corr_length_periodic_sigma_2_positive,corr_length_non_periodic,corr_length_non_periodic_sigma_1_negative,corr_length_non_periodic_sigma_1_positive,corr_length_non_periodic_sigma_2_negative,corr_length_non_periodic_sigma_2_positive
3.6,0.3454277763958635,0.0005377074021614113,0.0005771991252680348,0.1707159608968604,0.004280623279565739,0.348850091156341,0.0005616099865421704,0.0005202120287929332,0.17830475852932193,0.0038579956609031173,5.106894841269841,0.00696261861260078,0.006005628686078259,2.2105519136069085,0.0445389343757519,0.46373549342635495,-0.08453146889274121,0.29105211044321155,-0.04201431441252268,0.12061724961411402,0.6087069054292678,-0.2065687218919996,0.3161573189882081,-0.10245733503299559,0.13549739979227637
4.0,0.36053265905898174,0.0005579345739144247,0.000601344589924745,0.17713785698413978,0.004459690838023056,0.35964385172240426,0.0005793794420833697,0.0006152139636052433,0.1839463577803943,0.004562548866129331,4.47609126984127,0.0065533788173132825,0.006697469188558366,2.080622951110001,0.049669760863556366,0.5009947826667119,-0.011801292920794682,0.0242733186762647,-0.005410215408938823,0.010414115170540361,0.7188007152031965,-0.07912954478003464,0.08447742537116665,-0.03515224005644435,0.036047079360132406
6.5,0.3870990944882795,0.000595952035427711,0.000629153231889228,0.18920796694917202,0.00466592524648824,0.37693917474409844,0.00060639185080694,0.0005776250420104975,0.19252248913519154,0.00428378196266682,3.579047619047619,0.005956593458615394,0.006470132695757665,1.8911504135370394,0.04798378830958618,0.49308006278927957,-0.03559244774598125,0.012417566503590383,-0.01599056141301558,0.005492223909597804,0.7404691281321923,-0.16503064882779261,0.1778045337008507,-0.0711945189413512,0.07172491039405782
8.0,0.4050771346452318,0.0006161334910673806,0.0007020416525739037,0.19561534869242977,0.005206480241696723,0.387714474268475,0.0006267788087243791,0.0007789440208180442,0.19899511550531299,0.005776803468722992,3.0825694444444443,0.0055423495859936315,0.0059090387812046905,1.7596327136206964,0.04382260446935982,0.5433224365978185,-0.033848407366360966,0.015992997935429853,-0.015210408324628277,0.015991946434755766,0.8308904809169846,-0.04903250549231064,0.04844051090793,-0.021644111082317785,0.0215237373481596
11.0,0.4389081462962305,0.0006633174208338576,0.0006156184172632674,0.21059570766944102,0.004565548374736071,0.4049111567783827,0.0006603722063954142,0.0006799321527589628,0.20966063571230392,0.005042511802618717,2.3052579365079366,0.004888302855474128,0.0050866502533205545,1.5519803442776952,0.03772360791306067,0.5697200011223272,-0.0692786862285355,0.03292138766324748,-0.031602893961750755,0.02771999276611603,0.9841124485612702,-0.1063561695908507,0.10499967760874362,-0.046983169763643806,0.04672544665845346
14.0,0.46634361433298993,0.0006947585183827202,0.0006842922979141152,0.22057789716158932,0.005074847504521876,0.41617190842278795,0.0006947864467135166,0.0007431797250801845,0.22058676408774464,0.0055115683527798345,1.828343253968254,0.004458537161756721,0.004795950436222841,1.4155346433843143,0.03556772036930162,0.6190461451717405,-0.11077753568115423,0.08473906039218404,-0.05150352941971481,0.02775576945236624,1.1075904493703446,-0.015227629971372614,0.01525026360244397,-0.00675482323926857,0.006759228157562913
16.0,0.48209942547614965,0.0007144325587972877,0.0007648098422571127,0.22682418036430474,0.005671981595063071,0.42177314543541167,0.0007121211439895835,0.0007179294015114043,0.22609033255350222,0.005324306941330371,1.571547619047619,0.004197914936661401,0.00544849428045815,1.332790062578135,0.0404071150396831,0.6277266207850609,-0.09507300278074893,inf,-0.04391735351633508,0.024008118465933093,1.1418630518854302,-0.018541307580589583,0.01858967025841729,-0.008225115122581395,0.008234625354277436
20.0,0.5087654661497748,0.0007441463403306751,0.000765055667986845,0.23625796674321883,0.005673804687468002,0.43016761888991845,0.0007575268227112885,0.0009015058323761846,0.24050611712702966,0.006685746190176176,1.1489781746031746,0.0037835386825179804,0.004413600966785556,1.2012303330401357,0.032732140812518996,0.6578741928655487,-0.10963001293601393,0.09763471936640133,-0.0508281107468227,0.030087550362823956,1.3379359023993223,-0.020737360581828734,0.02087661437822108,-0.009207629781326498,0.009235186150149288
30.0,0.5515333019951313,0.0007936005053812804,0.0008387400837352757,0.25195909950246564,0.006220262940064041,0.43222215003379655,0.0008212572183658465,0.0008433245517083991,0.26073979010376697,0.006254262264510457,0.6546230158730159,0.0032544992266128276,0.0035909389721060863,1.0332663461131173,0.026631116172186012,0.6966180203818907,-0.07075106969754708,0.046408973059633096,-0.03232147827526055,0.025175500961483133,1.6856718798669343,-0.040062752972553906,0.04025428302068401,-0.01771724096427607,0.01776269562205779
50.0,0.5919030383695637,0.000828880071666092,0.000836734463203033,0.263159958992453,0.006205388860107135,0.41825946471273684,0.0008859855700538139,0.0008848514465193178,0.2812903027269207,0.006562233958980973,0.2982936507936508,0.002770889994272766,0.003443811826385725,0.8797259364671597,0.025539992056683964,0.7278201355068362,-0.0650455959848324,0.044624812136604186,-0.029544285152574234,0.0194749437922217,2.003377436984647,-0.05897084977409167,0.05705699597153241,-0.025398545428660435,0.025136034123793227
