annealing_time,average_triangular_op,triangular_op_sem,triangular_op_bootstrap_sem,triangular_op_std,triangular_op_bootstrap_std,average_villain_op,villain_op_sem,villain_op_bootstrap_sem,villain_op_std,villain_op_bootstrap_std,average_afm_op,afm_op_sem,afm_op_bootstrap_sem,afm_op_std,afm_op_bootstrap_std,average_vortices,vortices_sem,vortices_bootstrap_sem,vortices_std,vortices_bootstrap_std
3.6,0.268505620316857,0.00046530331065865773,0.00047380775526083296,0.13959021768992536,0.003316654286825831,0.4446283339119287,0.0007074365957782771,0.0007819122883432233,0.21222979966921499,0.005473386018402562,0.0634195987654321,0.0001649575247639028,0.00015908520360919233,0.0494869824991992,0.0011135964252643464,5.113288888888892,0.008311674005810288,0.006965846205127534,2.493488348914596,0.04876092343589274
4.0,0.2713221654354129,0.00047554273064951135,0.000541774431116326,0.14266202662143407,0.0037924210178142815,0.47171539411685304,0.0007380192114157892,0.0007398003593723332,0.22140453338930094,0.005178602515606333,0.06140015432098765,0.00015920014017831724,0.00014973116027502823,0.04775977671919117,0.0010481181219251976,5.173111111111117,0.008085536642978975,0.007263027929448962,2.4256475169618543,0.05084119550614274
5.3,0.27091528402455545,0.0004791462491750438,0.0004803990487198519,0.14374307617321289,0.003362793341038963,0.4930590645107689,0.0007627627560356447,0.0007250914591932164,0.22882755553590203,0.005075640214352515,0.05984212962962963,0.00015523750488307528,0.00017327568447864577,0.046570992735029085,0.0012129297913505207,5.098400000000002,0.007915623174584411,0.007437615577079198,2.3746737596333856,0.05206330903955439
6.5,0.27041757867301286,0.00048622214027751185,0.0004242127658539483,0.14586583171076872,0.002969489360977638,0.5160064199618963,0.0007860362203012512,0.0007538506644892486,0.23580955602636916,0.005276954651424741,0.058431944444444446,0.00015171139255761327,0.0001547935084455006,0.045513164914260676,0.0010835545591185041,4.109,0.007804131474695736,0.007887435591600121,2.341226435486799,0.05521204914120084
8.0,0.2668917674249263,0.0004889483297412442,0.0005135117661435468,0.1466836840062267,0.0035945823630048283,0.5469424746658464,0.0008132612794722799,0.0007371937662562498,0.24397702840245306,0.005160356363793749,0.05715679012345679,0.0001475581359007623,0.0001298074567028326,0.04426719483931904,0.0009086521969198283,3.2952111111111173,0.007576952569175296,0.008572176481185545,2.273073142463228,0.06000523536829881
9.5,0.2618636285367614,0.0004914273552930813,0.0004964336080015854,0.14742738754005713,0.0034750352560110986,0.5758917811051645,0.000831772474210077,0.0008242135163827061,0.24953035597171525,0.005769494614678943,0.0565625,0.00014610260729123442,0.00014785263743716964,0.04383053868234844,0.0010349684620601877,3.1283333333333334,0.007359067842449363,0.008764190523107153,2.2077080875876685,0.06134933366175007
11.0,0.2551558507009946,0.000490318526289942,0.0005172926739438602,0.14709474068716877,0.003621048717607021,0.6037957677553415,0.0008443390600877883,0.000738277663938473,0.2533003107906607,0.005167943647569311,0.055864660493827156,0.0001443372490283767,0.00011482196213974125,0.04330093414576307,0.0008037537349781888,3.0779777777777713,0.007213703349998733,0.007980130275497248,2.1640989821273067,0.055860911928480736
12.0,0.24957137413954544,0.00048711692511485815,0.00038661844442954344,0.14613426567066043,0.002706329111006804,0.6208884552124608,0.000852896821641738,0.0007702526296043833,0.25586762499387006,0.005391768407230683,0.05555787037037037,0.00014385469824049592,0.00011784747007828152,0.043156169713652374,0.0008249322905479707,2.6130666666666666,0.007098373734998216,0.008052364525529316,2.12950028984371,0.05636655167870521
14.0,0.24162744455538715,0.00048227885224447133,0.0004412733937205327,0.14468285187302155,0.003088913756043729,0.648998442016212,0.00085314334191277,0.0008018625958953711,0.2559415806643114,0.005613038171267598,0.05510061728395062,0.0001426708116654264,0.0001574382747537287,0.04280100571428129,0.001102067923276101,2.0350555555555605,0.006924463536973247,0.006192414226546608,2.077327520287355,0.04334689958582626
16.0,0.23333869626921558,0.00047148751754393954,0.0005334957407285232,0.14144546944846978,0.0037344701850996623,0.6729277700468018,0.0008505555931879584,0.0009731650048107227,0.2551652603597944,0.006812155033675059,0.055125154320987656,0.00014284957041203321,0.00015829465934487575,0.04285463304033127,0.0011080626154141302,2.3486000000000047,0.006764021935988729,0.007042849093655853,2.0291953073954105,0.04929994365559098
18.0,0.22490066668927264,0.0004577051584678382,0.0005415174495022824,0.1373107846963017,0.0037906221465159773,0.6965429576355584,0.0008403182202057792,0.0009478829579119052,0.2520940655274764,0.006635180705383338,0.05499490740740741,0.00014149001938962709,0.00013218666390437707,0.04244676999953409,0.0009253066473306395,2.235766666666673,0.006538672584015534,0.005379404422193571,1.9615908773867485,0.037655830955355
20.0,0.21678674376451737,0.00044529989049127964,0.00045739494791539106,0.13358922497883816,0.0032017646354077374,0.7189570324623127,0.0008240803573660913,0.0009389634936511435,0.24722273373874992,0.0065727444555580055,0.05479753086419753,0.0001412431825720651,0.00015252108580736046,0.04237271936566134,0.0010676476006515232,1.8994333333333349,0.0063569924917697175,0.0059721468644720966,1.9070871525139983,0.04180502805130468
30.0,0.19711236304605584,0.0003906420887319191,0.0004447174676876107,0.1171919755476193,0.0031130222738132754,0.7761593231190393,0.0007353328801198268,0.0008005337491467417,0.22059863847774352,0.005603736244027192,0.05401003086419753,0.00013879708395579196,0.0001696574678018439,0.04163889385762175,0.0011876022746129073,0.878544444444446,0.00590839722384185,0.006346386079978122,1.7725093197964947,0.04442470255984686
50.0,0.18412483494978105,0.00034046343822438077,0.0003585975574512411,0.1021384640266743,0.0025101829021586877,0.8200766895312723,0.0006145012511126287,0.0008221684788992315,0.1843493511621918,0.0057551793522946215,0.05394583333333333,0.00013729372383543243,0.00014286239736292103,0.041187888327121044,0.001000036781540447,1.2185222222222174,0.005456136380453392,0.005727511370162337,1.6368318205501236,0.04009257959113636
100.0,0.18093900197019552,0.0003135239363710482,0.00036851501784349174,0.094056658369969,0.0025796051249044423,0.836470203554729,0.0005035938674093092,0.0006966989037059115,0.15107732089734893,0.0048768923259413805,0.054595987654320985,0.00013839257524885795,0.00015504957762362697,0.0415175419197246,0.001085347043365389,0.6964777777777793,0.0051485113406484935,0.005402415638785115,1.5445448213184778,0.037816909471495797
150.0,0.18471394968975596,0.0003169337862329389,0.00032825485849816957,0.09507960764543734,0.0022977840094871873,0.8215426113757535,0.0005135466383202422,0.0008557481462521014,0.15406313558263124,0.00599023702376471,0.05557716049382716,0.00014066432211911004,0.00013986614143789017,0.042199062194544924,0.0009790629900652311,0.753422222222227,0.00514029098776953,0.005097595261516883,1.542078729155415,0.03568316683061818
200.0,0.18431041270356965,0.0003133791732774609,0.0003502534649348586,0.0940132296831653,0.0024517742545440103,0.8229337722060838,0.0004946821859618654,0.000619961472520997,0.14840383131595947,0.004339730307646979,0.05581404320987654,0.0001407196778375161,0.00016654184650885377,0.04221566881780695,0.0011657929255619766,0.5246888888888889,0.005020075861330267,0.0051330290178863295,1.5060143915827366,0.03593120312520431
